Item,Description,Quantity,Total Price,Source
"Case","A custom 3d printed case to go around the mouse components",1,"$0.00",https://cad.onshape.com/documents/4e61e2f71b3a8184c1155880/w/6a6b0ce8113edd2f889210ec/e/f6ba5dc228a9a8c2f7df7611
"Components","The Bambu Lab wireless mouse kit",1,"$13.00",https://us.store.bambulab.com/products/wireless-mouse-components-kit-002?id=41806859403400
